keyword_text,keyword_match_type,ad_group_criterion_status,campaign_name,ad_group_name,ad_group_criterion_quality_info_quality_score,impressions,clicks,ctr,average_cpc,cost,conversions,cost_per_conversion
vesícula biliar mérida,EXACT,ENABLED,General Surgery Test | JULY | MX | Merida,Vesicula Biliar Merida July 2025,,0,0,,,0.0,0,
vesicula biliar merida,EXACT,ENABLED,General Surgery Test | JULY | MX | Merida,Vesicula Biliar Merida July 2025,,0,0,,,0.0,0,
cirujano vesicula merida,PHRASE,ENABLED,General Surgery Test | JULY | MX | Merida,Vesicula Biliar Merida July 2025,,0,0,,,0.0,0,
colecistectomía,PHRASE,ENABLED,General Surgery Test | JULY | MX | Merida,Colecistectomia Merida July 2025,,0,0,,,0.0,0,
cirugía vesícula biliar,PHRASE,ENABLED,General Surgery Test | JULY | MX | Merida,Colecistectomia Merida July 2025,,0,0,,,0.0,0,
colecistectomía mérida,EXACT,ENABLED,General Surgery Test | JULY | MX | Merida,Colecistectomia Merida July 2025,,0,0,,,0.0,0,
colecistectomia merida,EXACT,ENABLED,General Surgery Test | JULY | MX | Merida,Colecistectomia Merida July 2025,,0,0,,,0.0,0,
endoscopia,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
endoscopia precio,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
endoscopia digestiva,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
costo de endoscopia,EXACT,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
cpre,PHRASE,PAUSED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
panendoscopia,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
centro endoscopia,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
endoscopia diagnostica,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
endoscopia con sedacion,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
centro endoscopico,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
cuanto cuesta una endoscopia,EXACT,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
endoscopia merida,BROAD,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
endoscopia merida,EXACT,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
endoscopia chopo,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
endoscopia salud digna,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
endoscopia merida,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
centro endoscopico del sureste,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
endoscopia costo,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
endoscopia precio merida,EXACT,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
colangiopancreatografía endoscópica,PHRASE,PAUSED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
problemas biliares merida,PHRASE,PAUSED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
CPRE hospital amerimed,PHRASE,PAUSED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
cálculos biliares endoscopia,PHRASE,PAUSED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
CPRE yucatan,PHRASE,PAUSED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
costo endoscopia merida,PHRASE,PAUSED,Endo & Colo - Merida,Endoscopia Merida July 2025,,0,0,,,0.0,0,
varices esofagicas,PHRASE,ENABLED,Advanced Endoscopy July 2025,Ligadura Varices,,0,0,,,0.0,0,
ligadura varices esofagicas,EXACT,ENABLED,Advanced Endoscopy July 2025,Ligadura Varices,,0,0,,,0.0,0,
ligadura varices merida,EXACT,ENABLED,Advanced Endoscopy July 2025,Ligadura Varices,,0,0,,,0.0,0,
ligadura varices,PHRASE,ENABLED,Advanced Endoscopy July 2025,Ligadura Varices,,0,0,,,0.0,0,
varices esofagicas merida,EXACT,ENABLED,Advanced Endoscopy July 2025,Ligadura Varices,,0,0,,,0.0,0,
sangrado varices merida,EXACT,ENABLED,Advanced Endoscopy July 2025,Ligadura Varices,,0,0,,,0.0,0,
emergencia varices merida,EXACT,ENABLED,Advanced Endoscopy July 2025,Ligadura Varices,,0,0,,,0.0,0,
sangrado varices,PHRASE,ENABLED,Advanced Endoscopy July 2025,Ligadura Varices,,0,0,,,0.0,0,
cpre merida,EXACT,ENABLED,Advanced Endoscopy July 2025,CPRE,,0,0,,,0.0,0,
endoscopia vias biliares merida,EXACT,ENABLED,Advanced Endoscopy July 2025,CPRE,,0,0,,,0.0,0,
endoscopia pancreas merida,EXACT,ENABLED,Advanced Endoscopy July 2025,CPRE,,0,0,,,0.0,0,
calculos biliares endoscopia,EXACT,ENABLED,Advanced Endoscopy July 2025,CPRE,,0,0,,,0.0,0,
cpre urgente,PHRASE,ENABLED,Advanced Endoscopy July 2025,CPRE,,0,0,,,0.0,0,
dolor estomago endoscopia,PHRASE,ENABLED,Endoscopia,Endoscopy - Symptom,,0,0,,,0.0,0,
acidez estomacal endoscopia,PHRASE,ENABLED,Endoscopia,Endoscopy - Symptom,,0,0,,,0.0,0,
refujo endoscopia,PHRASE,ENABLED,Endoscopia,Endoscopy - Symptom,,0,0,,,0.0,0,
cálculos biliares,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
calculos biliares,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
vias biliares,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
litiasis biliar,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
obstruccion biliar,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
piedras en vesicula,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
costo cpre,EXACT,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
estudio cpre,EXACT,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
estudio cpre,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
cpre precio,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
piedras en vesícula,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
estudio cepre,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
obstrucción biliar,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
costo cpre,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
estudio cepre,EXACT,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
cpre particular,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
vías biliares,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
spyglass cpre,EXACT,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
cpre precio merida,EXACT,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
cpre con sedacion,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
spyglass cpre,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
ercp merida,EXACT,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
cpre en merida yucatan,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
cpre salud digna,PHRASE,PAUSED,CPRE,CPRE - Core,,0,0,,,0.0,0,
hernia inguinal,PHRASE,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
hernia umbilical,PHRASE,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
cirugia hernia umbilical,EXACT,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
operacion hernia inguinal,EXACT,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
cirugia hernia umbilical,PHRASE,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
operacion hernia inguinal,PHRASE,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
hernia laparoscopica,PHRASE,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
precio operacion hernia,PHRASE,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
hernia umbilical precio,EXACT,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
costo cirugia hernia,EXACT,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
hernia inguinal precio,EXACT,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
operacion hernia precio,EXACT,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
costo cirugia hernia,PHRASE,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
cirugia hernia merida,EXACT,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
hernia inguinal merida,EXACT,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
cuanto cuesta operacion hernia,PHRASE,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
cuanto cuesta cirugia hernia,PHRASE,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
precio cirugia hernia mexico,PHRASE,ENABLED,Cirugia Hernia,Cirugia Hernia,,0,0,,,0.0,0,
balon gastrico,PHRASE,ENABLED,JULY - Bariatric Test - MX - Merida,Balon Gastrico Merida July 2025,,0,0,,,0.0,0,
balón gástrico,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Balon Gastrico Merida July 2025,,0,0,,,0.0,0,
balon gastrico merida,EXACT,ENABLED,JULY - Bariatric Test - MX - Merida,Balon Gastrico Merida July 2025,,0,0,,,0.0,0,
balón gástrico mérida,EXACT,PAUSED,JULY - Bariatric Test - MX - Merida,Balon Gastrico Merida July 2025,,0,0,,,0.0,0,
colonoscopia,BROAD,ENABLED,Endo & Colo - Merida,Colonoscopia Merida July 2025,,0,0,,,0.0,0,
examen de colonoscopia,PHRASE,ENABLED,Endo & Colo - Merida,Colonoscopia Merida July 2025,,0,0,,,0.0,0,
costo de colonoscopia,EXACT,ENABLED,Endo & Colo - Merida,Colonoscopia Merida July 2025,,0,0,,,0.0,0,
colonoscopia chopo,PHRASE,ENABLED,Endo & Colo - Merida,Colonoscopia Merida July 2025,,0,0,,,0.0,0,
colonoscopia salud digna,PHRASE,ENABLED,Endo & Colo - Merida,Colonoscopia Merida July 2025,,0,0,,,0.0,0,
colonoscopia costo,PHRASE,ENABLED,Endo & Colo - Merida,Colonoscopia Merida July 2025,,0,0,,,0.0,0,
colonoscopia precio,PHRASE,ENABLED,Endo & Colo - Merida,Colonoscopia Merida July 2025,,0,0,,,0.0,0,
costo colonoscopia,PHRASE,ENABLED,Endo & Colo - Merida,Colonoscopia Merida July 2025,,0,0,,,0.0,0,
colonoscopia merida,EXACT,ENABLED,Endo & Colo - Merida,Colonoscopia Merida July 2025,,0,0,,,0.0,0,
colonoscopia merida,BROAD,ENABLED,Endo & Colo - Merida,Colonoscopia Merida July 2025,,0,0,,,0.0,0,
colonoscopia merida,PHRASE,ENABLED,Endo & Colo - Merida,Colonoscopia Merida July 2025,,0,0,,,0.0,0,
endoscopia precio,PHRASE,PAUSED,Endoscopia,Endoscopy - Pricing,,0,0,,,0.0,0,
precio endoscopia,PHRASE,PAUSED,Endoscopia,Endoscopy - Pricing,,0,0,,,0.0,0,
costo endoscopia,PHRASE,PAUSED,Endoscopia,Endoscopy - Pricing,,0,0,,,0.0,0,
endoscopia precio merida,EXACT,PAUSED,Endoscopia,Endoscopy - Pricing,,0,0,,,0.0,0,
precio endoscopia merida,PHRASE,PAUSED,Endoscopia,Endoscopy - Pricing,,0,0,,,0.0,0,
endoscopia costo en merida,PHRASE,PAUSED,Endoscopia,Endoscopy - Pricing,,0,0,,,0.0,0,
endoscopia costo merida,EXACT,PAUSED,Endoscopia,Endoscopy - Pricing,,0,0,,,0.0,0,
endoscopia precio en merida,PHRASE,PAUSED,Endoscopia,Endoscopy - Pricing,,0,0,,,0.0,0,
costo endoscopia merida,PHRASE,PAUSED,Endoscopia,Endoscopy - Pricing,,0,0,,,0.0,0,
bypass gastrico,PHRASE,ENABLED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
bypass gástrico,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
cirugía para bajar de peso,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
cirugía bariátrica,PHRASE,ENABLED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
cirugía obesidad,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
operación para bajar de peso,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
cirugía para perder peso,PHRASE,ENABLED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
bypass gastrico merida,EXACT,ENABLED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
cirugía bajar de peso,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
operación adelgazar,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
cirugía de bajar de peso,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
cirugía pérdida de peso,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
costo cirugía bariátrica,PHRASE,ENABLED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
bypass gástrico mérida,EXACT,PAUSED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
cirugía adelgazar,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
cirugía bariátrica mérida,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
cirugía para bajar de peso mérida,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
como bajar de peso cirugía,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
precio cirugía bajar de peso,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
precio cirugía bajar peso,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Bypass Gastrico Merida July 2025,,0,0,,,0.0,0,
endoscopia precio,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
precio endoscopia,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia 24 horas,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia merida,EXACT,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia salud digna,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia merida,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
centro endoscopico del sureste,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
costo endoscopia,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia costo,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
precio de una endoscopia en salud digna,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia precio merida,EXACT,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia del sureste,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia precio merida,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia star medica,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia en merida,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopy in merida mexico,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopy merida,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia privada merida,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia costo en merida,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia precio en merida,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia costo merida,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia con sedacion merida,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia digestiva alta merida,EXACT,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia digestiva alta en merida,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia privada en merida,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia con sedacion en merida,PHRASE,ENABLED,Agosto - Endo - Calls,Ad group 1,,0,0,,,0.0,0,
endoscopia chopo,EXACT,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
endoscopia salud digna,EXACT,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
colonoscopia chopo,EXACT,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
colonoscopia chopo,PHRASE,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
centro endoscopico del sureste,EXACT,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
endoscopia 24 horas,EXACT,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
centro de colonoscopia,EXACT,PAUSED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
endoscopia star medica,EXACT,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
salud digna endoscopia precio,EXACT,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
colonoscopia salud digna,EXACT,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
precio de una endoscopia en salud digna,EXACT,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
centro de endoscopia y colonoscopia,EXACT,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
endoscopia del sureste,EXACT,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
cedic endoscopia,EXACT,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
colonoscopia salud digna precio,EXACT,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
clinica colon merida,EXACT,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
jm endoscopia scp,EXACT,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
clinica colon merida,PHRASE,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
colonoscopia salud digna precio,PHRASE,ENABLED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
colonoscopia clinica merida,PHRASE,PAUSED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
endoscopia clinica merida,PHRASE,PAUSED,Agosto - Calls - Competition,Merida Competition Calls,,0,0,,,0.0,0,
cepre,PHRASE,PAUSED,Agosto - CPRE - Calls,CPRE Calls,,0,0,,,0.0,0,
estudio cpre,EXACT,PAUSED,Agosto - CPRE - Calls,CPRE Calls,,0,0,,,0.0,0,
estudio cpre,PHRASE,PAUSED,Agosto - CPRE - Calls,CPRE Calls,,0,0,,,0.0,0,
cpre precio,PHRASE,PAUSED,Agosto - CPRE - Calls,CPRE Calls,,0,0,,,0.0,0,
estudio cepre,PHRASE,PAUSED,Agosto - CPRE - Calls,CPRE Calls,,0,0,,,0.0,0,
cpre particular,PHRASE,PAUSED,Agosto - CPRE - Calls,CPRE Calls,,0,0,,,0.0,0,
cpre merida,EXACT,PAUSED,Agosto - CPRE - Calls,CPRE Calls,,0,0,,,0.0,0,
cpre merida,PHRASE,PAUSED,Agosto - CPRE - Calls,CPRE Calls,,0,0,,,0.0,0,
spyglass cpre precio,PHRASE,PAUSED,Agosto - CPRE - Calls,CPRE Calls,,0,0,,,0.0,0,
colonoscopia star medica,EXACT,ENABLED,Colonoscopia,Colonoscopy - Hospital,,0,0,,,0.0,0,
colonoscopia faro del mayab,EXACT,ENABLED,Colonoscopia,Colonoscopy - Hospital,,0,0,,,0.0,0,
colonoscopia en faro del mayab,PHRASE,ENABLED,Colonoscopia,Colonoscopy - Hospital,,0,0,,,0.0,0,
colonoscopia en star medica,PHRASE,ENABLED,Colonoscopia,Colonoscopy - Hospital,,0,0,,,0.0,0,
estudio de colonoscopia,PHRASE,PAUSED,Colonoscopia,Colonoscopy - Pricing,,0,0,,,0.0,0,
precio colonoscopia,PHRASE,PAUSED,Colonoscopia,Colonoscopy - Pricing,,0,0,,,0.0,0,
costo colonoscopia,PHRASE,PAUSED,Colonoscopia,Colonoscopy - Pricing,,0,0,,,0.0,0,
colonoscopy price merida,PHRASE,PAUSED,Colonoscopia,Colonoscopy - Pricing,,0,0,,,0.0,0,
colonoscopia costo merida,PHRASE,PAUSED,Colonoscopia,Colonoscopy - Pricing,,0,0,,,0.0,0,
colonoscopia costo merida,EXACT,PAUSED,Colonoscopia,Colonoscopy - Pricing,,0,0,,,0.0,0,
colonoscopia precio merida,PHRASE,PAUSED,Colonoscopia,Colonoscopy - Pricing,7,0,0,,,0.0,0,
tarifas,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
valor,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
tarifa,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
costos,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
coste,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
precio,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
cuesta,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
precios,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
costo,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
cuanto cuesta,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
cuanto vale,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
cuanto sale,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
costo de,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
cuánto cuesta,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
cuestan,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
endoscopia precio,PHRASE,PAUSED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
precio de endoscopia,EXACT,PAUSED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
cuánto vale,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
cuánto sale,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
endoscopia diagnostica y terapeutica,PHRASE,PAUSED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
precio de,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
costo de endoscopia,PHRASE,PAUSED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
endoscopia precio merida,EXACT,PAUSED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
precio endoscopia merida,PHRASE,PAUSED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
endoscopy merida,PHRASE,PAUSED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
endoscopia por reflujo,PHRASE,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
endoscopia con sedacion en merida,EXACT,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
endoscopia digestiva alta merida,EXACT,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
endoscopia digestiva alta en merida,PHRASE,PAUSED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
endoscopia privada en merida,PHRASE,PAUSED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
endoscopia privada merida,EXACT,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
endoscopia con sedacion merida,EXACT,ENABLED,Endoscopia,Endoscopy - Core,,0,0,,,0.0,0,
CPRE,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025 #2,,0,0,,,0.0,0,
endoscopia,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025 #2,,0,0,,,0.0,0,
endoscopia precio,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025 #2,,0,0,,,0.0,0,
costo de endoscopia,EXACT,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025 #2,,0,0,,,0.0,0,
cpre,PHRASE,PAUSED,Endo & Colo - Merida,Endoscopia Merida July 2025 #2,,0,0,,,0.0,0,
cuanto cuesta una endoscopia,EXACT,ENABLED,Endo & Colo - Merida,Endoscopia Merida July 2025 #2,,0,0,,,0.0,0,
endoscopia merida,BROAD,PAUSED,Endo & Colo - Merida,Endoscopia Merida July 2025 #2,,0,0,,,0.0,0,
